Date,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,Referee
15/01/2025,Blackburn,Portsmouth,3,0,H,F Hallam
14/01/2025,Cardiff,Watford,1,1,D,O Langford
14/01/2025,Plymouth,Oxford,1,1,D,S Allison
6/01/2025,QPR,Luton,2,1,H,A Davies
5/01/2025,Sunderland,Portsmouth,1,0,H,T Bramall
4/01/2025,Blackburn,Burnley,0,1,A,A Kitchen
4/01/2025,Stoke,Plymouth,0,0,D,D Whitestone
4/01/2025,Swansea,West Brom,1,1,D,S Allison
4/01/2025,Bristol City,Derby,1,0,H,W Finnie
4/01/2025,Hull,Leeds,3,3,D,A Backhouse
4/01/2025,Middlesbrough,Cardiff,1,1,D,T Nield
4/01/2025,Norwich,Coventry,2,1,H,J Bell
4/01/2025,Preston,Oxford,1,1,D,B Toner
4/01/2025,Sheffield Weds,Millwall,2,2,D,R Jones
4/01/2025,Watford,Sheffield United,1,2,A,D Webb
1/01/2025,Plymouth,Bristol City,2,2,D,T Robinson
1/01/2025,QPR,Watford,3,1,H,S Martin
1/01/2025,Millwall,Oxford,0,1,A,R Ricardo
1/01/2025,Burnley,Stoke,0,0,D,G Ward
1/01/2025,Cardiff,Coventry,1,1,D,G Eltringham
1/01/2025,Leeds,Blackburn,1,1,D,O Langford
1/01/2025,Luton,Norwich,0,1,A,J Gillett
1/01/2025,Portsmouth,Swansea,4,0,H,J Linington
1/01/2025,Sheffield Weds,Derby,4,2,H,L Smith
1/01/2025,West Brom,Preston,3,1,H,R Madley
1/01/2025,Hull,Middlesbrough,0,1,A,L Doughty
1/01/2025,Sunderland,Sheffield United,2,1,H,M Donohue
29/12/2024,Norwich,QPR,1,1,D,S Barrott
29/12/2024,Preston,Sheffield Weds,3,1,H,S Gill
29/12/2024,Sheffield United,West Brom,1,1,D,S Attwell
29/12/2024,Blackburn,Hull,0,1,A,D Whitestone
29/12/2024,Bristol City,Portsmouth,3,0,H,J Busby
29/12/2024,Coventry,Millwall,0,0,D,A Kitchen
29/12/2024,Oxford,Plymouth,2,0,H,D Webb
29/12/2024,Stoke,Sunderland,1,0,H,J Bell
29/12/2024,Swansea,Luton,2,1,H,F Hallam
29/12/2024,Watford,Cardiff,1,2,A,S Allison
29/12/2024,Derby,Leeds,0,1,A,A Davies
29/12/2024,Middlesbrough,Burnley,0,0,D,J Smith
26/12/2024,Blackburn,Sunderland,2,2,D,R Madley
26/12/2024,Bristol City,Luton,1,0,H,P Bankes
26/12/2024,Coventry,Plymouth,4,0,H,A Herczeg
26/12/2024,Middlesbrough,Sheffield Weds,3,3,D,A Backhouse
26/12/2024,Norwich,Millwall,2,1,H,T Nield
26/12/2024,Oxford,Cardiff,3,2,H,G Ward
26/12/2024,Preston,Hull,1,0,H,J Smith
26/12/2024,Sheffield United,Burnley,0,2,A,O Langford
26/12/2024,Swansea,QPR,3,0,H,B Toner
26/12/2024,Watford,Portsmouth,2,1,H,G Eltringham
26/12/2024,Derby,West Brom,2,1,H,J Gillett
26/12/2024,Stoke,Leeds,0,2,A,S Martin
22/12/2024,West Brom,Bristol City,2,0,H,T Kirk
21/12/2024,Hull,Swansea,2,1,H,T Bramall
21/12/2024,Portsmouth,Coventry,4,1,H,D Whitestone
21/12/2024,Sheffield Weds,Stoke,2,0,H,S Allison
21/12/2024,Burnley,Watford,2,1,H,J Linington
21/12/2024,Cardiff,Sheffield United,0,2,A,D Bond
